d,n,omega,cases,valid_cases,skipped_cases,max_err_cross_response,mean_err_cross_response,median_err_cross_response,pass_rate_cross_response,max_err_self_transfer,mean_err_self_transfer,pass_rate_self_transfer,max_err_wrong_bracketing,mean_err_wrong_bracketing
4,48,1.0,120,120,0,1.4101498741551626e-15,9.665626271294628e-16,9.741450645350308e-16,1.0,3.6171534014367143e-16,7.781761203876681e-17,1.0,2.480389711408153,0.6063247124516647
4,80,1.0,120,120,0,1.670876430913949e-15,1.0762272738935753e-15,1.0249382753633018e-15,1.0,3.382232583396803e-16,8.706951126336195e-17,1.0,2.591812994283531,0.7702905004580913
8,96,1.0,120,120,0,1.4998287152352736e-15,1.0823631757241243e-15,1.056171682913856e-15,1.0,3.819701956298234e-16,9.387340185242328e-17,1.0,1.833691454804442,0.5055991100926857
8,160,1.0,120,120,0,1.492104224145098e-15,1.122696099497656e-15,1.1013402760976272e-15,1.0,7.080073626318627e-16,9.088777561993111e-17,1.0,2.399116502089384,0.5161885320064609
16,192,1.0,120,120,0,1.6136471996107275e-15,1.1800447188871205e-15,1.151740781646378e-15,1.0,7.023038222575547e-16,1.0143330474373486e-16,1.0,1.2337429999468275,0.3740627694479837
16,320,1.0,120,120,0,1.6773188315764163e-15,1.2456339360598326e-15,1.2255742108346454e-15,1.0,5.79553433516819e-16,1.2316269598721473e-16,1.0,1.530333252746665,0.43408662324319613
