d,n,omega,cases,valid_cases,skipped_cases,max_err_step,mean_err_step,median_err_step,pass_rate_step,max_err_e_r,mean_err_e_r,median_err_e_r,pass_rate_e_r
4,48,1.0,120,120,0,8.326672684688674e-17,2.0572736222912447e-17,2.0816681711721685e-17,1.0,4.440892098500626e-16,1.2299912246123886e-16,1.1102230246251565e-16,1.0
4,80,1.0,120,120,0,8.326672684688674e-17,1.8165807399994628e-17,1.3877787807814457e-17,1.0,4.440892098500626e-16,7.827939685345342e-17,5.551115123125783e-17,1.0
8,96,1.0,120,120,0,8.326672684688674e-17,1.6179910420725343e-17,1.3877787807814457e-17,1.0,4.440892098500626e-16,1.0711917464156784e-16,1.1102230246251565e-16,1.0
8,160,1.0,120,120,0,5.551115123125783e-17,1.5366307040456013e-17,1.3877787807814457e-17,1.0,4.440892098500626e-16,8.588575271979704e-17,5.551115123125783e-17,1.0
16,192,1.0,120,120,0,5.551115123125783e-17,1.240507985685498e-17,9.540979117872439e-18,1.0,8.881784197001252e-16,1.0379428797927896e-16,1.1102230246251565e-16,1.0
16,320,1.0,120,120,0,5.551115123125783e-17,1.148712201748392e-17,1.1275702593849246e-17,1.0,4.440892098500626e-16,9.046582927219049e-17,6.938893903907228e-17,1.0
