d,n,omega,seed,row_index,eta_col_sum_excl,delta_E1,abs_r_l,drop_E1
4,48,1.0,0,46,46.33917406368979,-0.2406581398260812,0.13788962357735413,0.2406581398260812
4,48,1.0,0,40,46.947793868290184,0.022607115371613418,0.5576417282678054,-0.022607115371613418
4,48,1.0,0,21,41.9620212974309,0.3908730943701286,0.6288564121669831,-0.3908730943701286
4,48,1.0,0,7,42.55194190780926,-0.28041804874386145,0.7443353819341447,0.28041804874386145
4,48,1.0,0,29,53.47576947844411,-0.11564059001518245,0.049990009361687626,0.11564059001518245
4,48,1.0,0,6,35.694765017044205,-0.8679201453116612,1.3735922392543403,0.8679201453116612
4,48,1.0,0,38,33.1023840518155,0.8116990974694858,0.6858713265333569,-0.8116990974694858
4,48,1.0,0,1,41.074133328651314,-0.8242296156106725,0.6525950479393758,0.8242296156106725
4,48,1.0,0,40,46.947793868290184,0.022607115371613418,0.5576417282678054,-0.022607115371613418
4,48,1.0,0,37,54.31224680961357,2.341042220331822,1.1114576654688215,-2.341042220331822
4,48,1.0,0,33,38.55426572350958,0.4754199084681332,1.34198056614084,-0.4754199084681332
4,48,1.0,0,15,38.74977446523143,-1.0268970861746958,1.1619906044765247,1.0268970861746958
4,48,1.0,0,9,42.869527854017534,0.26197972943830194,0.8561109636973918,-0.26197972943830194
4,48,1.0,0,26,47.31927311372991,0.32660688542767957,0.7109393643985422,-0.32660688542767957
4,48,1.0,0,44,37.45294513883387,-0.4614498752258669,1.1346926125033816,0.4614498752258669
4,48,1.0,0,10,47.74595307043797,0.010455095106088663,0.03305686596685131,-0.010455095106088663
4,48,1.0,0,6,35.694765017044205,-0.8679201453116612,1.3735922392543403,0.8679201453116612
4,48,1.0,0,26,47.31927311372991,0.32660688542767957,0.7109393643985422,-0.32660688542767957
4,48,1.0,0,26,47.31927311372991,0.32660688542767957,0.7109393643985422,-0.32660688542767957
4,48,1.0,0,47,52.89059921232463,4.571964860342007,1.598617085985558,-4.571964860342007
4,48,1.0,1,46,49.20019669787344,0.7717963615185042,1.3303658119009176,-0.7717963615185042
4,48,1.0,1,0,45.68184198688338,0.2975071179570392,2.267405096732947,-0.2975071179570392
4,48,1.0,1,5,56.34614652478057,-0.6516742071429746,0.20600494067811126,0.6516742071429746
4,48,1.0,1,1,47.41996848053749,-3.188480364122441,1.2695049646379717,3.188480364122441
4,48,1.0,1,21,42.74228862806259,-0.14055361768413377,0.12422423845379216,0.14055361768413377
4,48,1.0,1,38,47.46197282856431,-0.4545194715150558,0.7930955147326935,0.4545194715150558
