Group,CasesTotal,PassRateOverall,ViolationsTotal,WorstMetric1,WorstMetric2
A,720.0,1.0,0.0,8.326672684688674e-17,8.881784197001252e-16
B,720.0,1.0,0.0,1.6773188315764163e-15,2.591812994283531
C,720.0,nan,0.0,1.0000000000001894,1.0000000000000004
D,720.0,nan,0.0,0.4666666666666667,0.6583333333333333
E,5376.0,1.0,nan,8.516171690336754e-17,4.871819242173642e-16
