d,n,omega,cases,valid_cases,skipped_cases,max_ratio_T,max_ratio_s,max_ratio_amp,max_ratio_res,violations_T,violations_s,violations_amp,violations_res,max_ratio_cs,violations_cs,max_abs_eta_ll_minus_1
4,48,1.0,120,120,0,1.0000000000000002,1.0000000000000848,1.0000000000000953,1.0000000000000953,0,0,0,0,1.0000000000000002,0,3.3306690738754696e-16
4,80,1.0,120,120,0,1.0000000000000007,1.0000000000000424,1.0000000000001894,1.0000000000001894,0,0,0,0,1.0000000000000004,0,4.440892098500626e-16
8,96,1.0,120,120,0,1.0000000000000004,1.000000000000047,1.0000000000000062,1.0000000000000062,0,0,0,0,1.0000000000000002,0,4.440892098500626e-16
8,160,1.0,120,120,0,1.0000000000000004,1.0000000000000684,1.000000000000009,1.000000000000009,0,0,0,0,1.0000000000000004,0,4.440892098500626e-16
16,192,1.0,120,120,0,1.0000000000000004,1.0000000000000222,1.0000000000000107,1.0000000000000107,0,0,0,0,1.0000000000000004,0,4.440892098500626e-16
16,320,1.0,120,120,0,1.0000000000000002,1.0000000000000304,1.0000000000000464,1.0000000000000464,0,0,0,0,1.0000000000000004,0,4.440892098500626e-16
