test,case,omega,seed,A_seed,power_iters,passes,final_dist,log_final_dist,final_rel_l2,final_meas_rel,wall_sec
prob2_omega,real_patch,0.05,1,5,1,80,0.2683467606724161,-1.3154752517106518,0.26834676067241614,0.1597957553316477,337.99516320228577
prob2_omega,real_patch,0.1,1,5,1,80,0.03935744685516466,-3.2350700753866435,0.039357446855164666,0.023176271033157402,263.3706123828888
prob2_omega,real_patch,0.2,1,5,1,80,0.010308501861221234,-4.574786300801576,0.010308501861221236,0.0061091471157540276,263.8992326259613
prob2_omega,real_patch,0.35,1,5,1,80,0.010121409454030077,-4.593102350706912,0.010121409454030079,0.0059751550032746195,263.8025040626526
prob2_omega,real_patch,0.5,1,5,1,80,0.010159995792566729,-4.589297250949335,0.01015999579256673,0.005988893315683546,267.78239154815674
prob2_omega,real_patch,0.8,1,5,1,80,0.011000846522397741,-4.50978305256316,0.011000846522397743,0.006633890876122647,264.1141679286957
prob2_omega,real_patch,1.0,1,5,1,80,0.011829537736860742,-4.437155677253132,0.011829537736860744,0.007140475036635969,264.389386177063
prob2_omega,real_patch,1.2,1,5,1,80,0.012688596817271313,-4.367051577264674,0.012688596817271315,0.007561445503782581,264.42922806739807
