test,signal,eps,repeat,seed_noise,iter_seed,init_dist,init_rel,A_seed,omega,power_iters,passes,final_dist,log_final_dist,final_rel_l2,final_meas_rel,wall_sec
prob1_warm_start,real_patch,0.1,0,12345,1,0.0986814944985491,0.09868149449854911,5,1.0,1,80,0.009502389237657527,-4.656212013295346,0.009502389237657529,0.005565333667436891,266.28268694877625
prob1_warm_start,real_patch,0.1,1,22352,1,0.09948317643227833,0.09948317643227834,5,1.0,1,80,0.011563709630602161,-4.459883564914811,0.011563709630602163,0.006919439502148655,263.54587030410767
prob1_warm_start,real_patch,0.1,2,32359,1,0.09931068824220379,0.0993106882422038,5,1.0,1,80,0.009372354932282315,-4.66999088749135,0.009372354932282317,0.005746908278274964,265.8592584133148
prob1_warm_start,real_patch,0.05,0,12345,1,0.04942644494462306,0.04942644494462307,5,1.0,1,80,0.009487719527833244,-4.657756997889533,0.009487719527833246,0.00555515693392047,261.0435059070587
prob1_warm_start,real_patch,0.05,1,22352,1,0.049828917536901614,0.04982891753690162,5,1.0,1,80,0.011557312012359442,-4.460436967658409,0.011557312012359443,0.006916474728993524,260.8603641986847
prob1_warm_start,real_patch,0.05,2,32359,1,0.049754237501711464,0.04975423750171147,5,1.0,1,80,0.009380676588954182,-4.669103387546751,0.009380676588954183,0.005752549142332149,263.1564955711365
prob1_warm_start,real_patch,0.01,0,12345,1,0.00988560472127031,0.009885604721270312,5,1.0,1,80,0.009475335792913618,-4.659063088756283,0.00947533579291362,0.005546664074997681,260.6191551685333
prob1_warm_start,real_patch,0.01,1,22352,1,0.009966325407288874,0.009966325407288876,5,1.0,1,80,0.011552663871847196,-4.46083923035208,0.011552663871847198,0.006914505529298677,260.36253690719604
prob1_warm_start,real_patch,0.01,2,32359,1,0.009953266138288773,0.009953266138288775,5,1.0,1,80,0.009388140799875907,-4.668308003249424,0.009388140799875908,0.005757555375750245,260.71790838241577
prob1_warm_start,real_patch,0.005,0,12345,1,0.004942401844686408,0.004942401844686409,5,1.0,1,80,0.00947374571727326,-4.659230914900599,0.009473745717273262,0.005545579472907706,271.2283637523651
prob1_warm_start,real_patch,0.005,1,22352,1,0.00498277514665339,0.004982775146653391,5,1.0,1,80,0.011552110059964673,-4.460887169525539,0.011552110059964675,0.006914283132663828,261.1571764945984
prob1_warm_start,real_patch,0.005,2,32359,1,0.004976363077565993,0.004976363077565994,5,1.0,1,80,0.009389118999354311,-4.668203813448596,0.009389118999354313,0.0057582078234947355,263.52688431739807
prob1_warm_start,real_patch,0.001,0,12345,1,0.000988402853563044,0.0009884028535630442,5,1.0,1,80,0.00947246690992172,-4.659365908355876,0.009472466909921722,0.005544708099955116,260.6647138595581
prob1_warm_start,real_patch,0.001,1,22352,1,0.000996479548431542,0.0009964795484315421,5,1.0,1,80,0.011551671135979588,-4.460925165382704,0.01155167113597959,0.006914108854675707,266.8564155101776
prob1_warm_start,real_patch,0.001,2,32359,1,0.0009952159443831813,0.0009952159443831815,5,1.0,1,80,0.009389908373865611,-4.668119743651362,0.009389908373865613,0.005758733727247351,276.3935616016388
prob1_warm_start,real_patch,0.0001,0,12345,1,9.883837679830635e-05,9.883837679830636e-05,5,1.0,1,80,0.009472178353808607,-4.659396371434927,0.009472178353808609,0.005544511589902201,263.2563507556915
prob1_warm_start,real_patch,0.0001,1,22352,1,9.964609158053378e-05,9.96460915805338e-05,5,1.0,1,80,0.011551572877379837,-4.460933671426243,0.011551572877379838,0.0069140700835103605,266.0252904891968
