test,case,seed,A_seed,omega,power_iters,passes,final_dist,log_final_dist,final_rel_l2,final_meas_rel,wall_sec
prob4_control,G,1,5,1.0,1,80,7.746730043679646e-16,-34.794090663424704,7.746730043679646e-16,4.463001774359486e-16,263.6556942462921
prob4_control,P,1,5,1.0,1,80,0.011829537736860742,-4.437155677253132,0.011829537736860744,0.007140475036635969,260.6932077407837
prob4_control,S,1,5,1.0,1,80,7.026452521837656e-06,-11.865828599442935,7.026452521837656e-06,3.997525154321875e-06,263.26488423347473
prob4_control,R,1,5,1.0,1,80,3.548586346590769e-05,-10.246376153018401,3.54858634659077e-05,2.0701729163798165e-05,279.095773935318
prob4_control,B,1,5,1.0,1,80,0.043706179743556936,-3.130265773982414,0.043706179743556936,0.026537990306338077,270.3759684562683
prob4_control,U,1,5,1.0,1,80,0.04849220384246955,-3.0263522394757363,0.04849220384246955,0.02931450231545853,259.97112917900085
