seed,d,iter,dist_raw,dist_align,dist_pm,absip
11,64,0,2.9604905075305044,2.850416198532878,2.9604905075305044,0.024861915593513504
11,64,1,1.3517111412750664,1.3131748949337918,1.3517111412750664,0.05289059988749316
11,64,2,1.2606171357408498,1.2440032942773904,1.2606171357408498,0.18750760842809497
11,64,3,1.256538486472607,1.2149762915265676,1.256538486472607,0.18622147199703137
11,64,4,1.2311576590195217,1.2014392285791993,1.2311576590195217,0.2625144999526541
11,64,5,1.2152542856514883,1.1831253367455794,1.2152542856514883,0.25679850214136957
11,64,6,1.182563595116673,1.1440708118239005,1.1825635951166733,0.28874360354289347
11,64,7,1.159311221854955,1.1302117812745922,1.1593112218549553,0.33203606862965784
11,64,8,1.1172674500795623,1.0923068919972125,1.1172674500795623,0.3783030427085133
11,64,9,1.070288655752508,1.0494645542218388,1.070288655752508,0.42930426783360903
11,64,10,1.063669949415329,1.0495164921147286,1.063669949415329,0.4442240058861635
11,64,11,1.037720105225566,1.024758393882687,1.037720105225566,0.4760274928815951
11,64,12,0.9892106317953032,0.9768862243323316,0.9892106317953032,0.5186564446763496
11,64,13,0.9481432759863603,0.9282916932148174,0.9481432759863603,0.5648778962436909
11,64,14,0.8852517443552206,0.8696018497712636,0.8852517443552206,0.6158828753452914
11,64,15,0.8101153811756671,0.7988487523302932,0.8101153811756671,0.6716633186271936
11,64,16,0.7397786378640897,0.7286674468139118,0.7397786378640897,0.7224945388078029
11,64,17,0.6434662800568802,0.6299402815800497,0.6434662800568802,0.7931703585994992
11,64,18,0.546986888858904,0.5361930849225597,0.546986888858904,0.8524702540547091
11,64,19,0.410312476441814,0.40203751187470477,0.410312476441814,0.9148887478959337
11,64,20,0.29470930106396354,0.2879653536634803,0.29470930106396354,0.9561266998283409
11,64,21,0.20549662558911264,0.20176040553688604,0.20549662558911266,0.9788173967627576
11,64,22,0.14053339998512268,0.13888577354371637,0.14053339998512268,0.990100766867748
11,64,23,0.09695404417357367,0.09557461956873584,0.09695404417357367,0.9952909641209647
11,64,24,0.0702425528036617,0.06958105635934766,0.07024255280366172,0.9975334608677021
11,64,25,0.05025817598489795,0.049799080068222805,0.05025817598489795,0.9987362602632759
11,64,26,0.036248889792655704,0.03595985104364317,0.0362488897926557,0.9993437608701036
11,64,27,0.025942945407708414,0.02573739011068923,0.025942945407708414,0.9996636337852283
11,64,28,0.018892464574401184,0.018762869886040326,0.018892464574401184,0.9998215341037413
11,64,29,0.013926701824395583,0.013848836755670411,0.013926701824395583,0.9999030472218847
11,64,30,0.010377202254579422,0.010281678830148695,0.010377202254579422,0.9999461777830727
11,64,31,0.007710291487647477,0.007636451592158952,0.007710291487647477,0.9999702869734974
11,64,32,0.005803434777713789,0.005759827987938331,0.005803434777713789,0.9999831836685098
11,64,33,0.004299321578661842,0.0042601450411423845,0.004299321578661841,0.9999907578779943
11,64,34,0.0032595530380918505,0.003220583823809451,0.0032595530380918505,0.9999946924371101
11,64,35,0.0024990286494091865,0.0024771456877460203,0.002499028649409186,0.9999968843470839
11,64,36,0.001903698123840319,0.0018846610592998653,0.001903698123840319,0.9999981887238896
11,64,37,0.001467331572255451,0.0014555520594974414,0.001467331572255451,0.9999989236015564
